Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
TPA,JFK,1/1/2018,NONSTOP,POINTS,259.2,31.29,19600,5.6,1,1
FLL,DCA,1/1/2018,NONSTOP,LOWEST,275.24,32.41,0,0,1,0
FLL,DCA,1/1/2018,NONSTOP,POINTS,275.24,32.41,22700,5.6,1,0
BOS,FLL,1/1/2018,NONSTOP,LOWEST,181.2,25.85,0,0,1,0
BOS,FLL,1/1/2018,NONSTOP,POINTS,181.2,25.85,12400,5.6,1,0
BOS,ORD,1/1/2018,NONSTOP,LOWEST,110.2,20.9,0,0,1,0
BOS,ORD,1/1/2018,NONSTOP,POINTS,110.2,20.9,7200,5.6,1,0
BOS,AUS,1/1/2018,NONSTOP,LOWEST,224.2,28.85,0,0,1,0
BOS,AUS,1/1/2018,NONSTOP,POINTS,224.2,28.85,15600,5.6,1,0
BDL,MCO,1/1/2018,NONSTOP,LOWEST,222.2,28.71,0,0,1,0
BDL,MCO,1/1/2018,NONSTOP,POINTS,222.2,28.71,15500,5.6,1,0
ATL,BOS,1/1/2018,NONSTOP,LOWEST,183.24,25.99,0,0,1,0
ATL,BOS,1/1/2018,NONSTOP,POINTS,183.24,25.99,12600,5.6,1,0
BUF,FLL,1/1/2018,NONSTOP,LOWEST,208.21,27.74,0,0,1,0
BUF,FLL,1/1/2018,NONSTOP,POINTS,208.21,27.74,15600,5.6,1,0
BOS,SJU,1/1/2018,NONSTOP,LOWEST,208.1,28.1,0,0,1,0
BOS,SJU,1/1/2018,NONSTOP,POINTS,208.1,28.1,13400,5.6,1,0
JFK,RSW,1/1/2018,NONSTOP,LOWEST,150.2,23.69,0,0,1,0
JFK,RSW,1/1/2018,NONSTOP,POINTS,150.2,23.69,10100,5.6,1,0
JFK,MCO,1/1/2018,NONSTOP,LOWEST,130.2,22.29,0,0,1,0
JFK,MCO,1/1/2018,NONSTOP,POINTS,130.2,22.29,8600,5.6,1,0
TPA,SJU,1/1/2018,NONSTOP,LOWEST,186.1,28.1,0,0,1,0
TPA,SJU,1/1/2018,NONSTOP,POINTS,186.1,28.1,11800,5.6,1,0
ORD,FLL,1/1/2018,NONSTOP,LOWEST,135.2,22.64,0,0,1,0
ORD,FLL,1/1/2018,NONSTOP,POINTS,135.2,22.64,9000,5.6,1,0
MSY,BOS,1/1/2018,NONSTOP,LOWEST,376.44,39.47,0,0,1,0
MSY,BOS,1/1/2018,NONSTOP,POINTS,376.44,39.47,29000,5.6,1,0
PHL,FLL,1/1/2018,NONSTOP,LOWEST,114.2,21.18,0,0,1,0
PHL,FLL,1/1/2018,NONSTOP,POINTS,114.2,21.18,7500,5.6,1,0
SFO,JFK,1/1/2018,NONSTOP,LOWEST,398.2,40.99,0,0,1,0
SFO,JFK,1/1/2018,NONSTOP,POINTS,398.2,40.99,36600,5.6,1,0
SDQ,SJU,1/1/2018,NONSTOP,LOWEST,197.56,87.56,0,0,0,0
SDQ,SJU,1/1/2018,NONSTOP,POINTS,197.56,87.56,8200,62.26,0,0
BOS,AUA,1/1/2018,NONSTOP,LOWEST,513.1,38.1,0,0,0,0
BOS,AUA,1/1/2018,NONSTOP,POINTS,513.1,38.1,41400,15.6,0,0
FLL,KIN,1/1/2018,NONSTOP,LOWEST,197.1,72.1,0,0,0,0
FLL,KIN,1/1/2018,NONSTOP,POINTS,197.1,72.1,9300,49.6,0,0
BOS,HOU,1/1/2018,NONSTOP,LOWEST,267.19,31.85,0,0,1,0
BOS,HOU,1/1/2018,NONSTOP,POINTS,267.19,31.85,20300,5.6,1,0
JAX,FLL,1/1/2018,NONSTOP,LOWEST,59.98,17.39,0,0,1,0
JAX,FLL,1/1/2018,NONSTOP,POINTS,59.98,17.39,3400,5.6,1,0
JFK,CUN,1/1/2018,NONSTOP,LOWEST,138.82,54.82,0,0,0,0
JFK,CUN,1/1/2018,NONSTOP,POINTS,138.82,54.82,6300,32.32,0,0
MCO,BOS,1/1/2018,NONSTOP,LOWEST,320.2,35.55,0,0,1,0
MCO,BOS,1/1/2018,NONSTOP,POINTS,320.2,35.55,26700,5.6,1,0
DTW,FLL,1/1/2018,NONSTOP,LOWEST,300.55,34.18,0,0,1,0
DTW,FLL,1/1/2018,NONSTOP,POINTS,300.55,34.18,27300,5.6,1,0
MCO,NAS,1/1/2018,NONSTOP,LOWEST,127.1,28.1,0,0,0,0
MCO,NAS,1/1/2018,NONSTOP,POINTS,127.1,28.1,7400,5.6,0,0
CLE,FLL,1/1/2018,NONSTOP,LOWEST,84.2,19.08,0,0,1,0
CLE,FLL,1/1/2018,NONSTOP,POINTS,84.2,19.08,5200,5.6,1,0
BOS,SAN,1/1/2018,NONSTOP,LOWEST,306.2,34.57,0,0,1,0
BOS,SAN,1/1/2018,NONSTOP,POINTS,306.2,34.57,21700,5.6,1,0
AUS,MCO,1/1/2018,NONSTOP,LOWEST,152.2,23.83,0,0,1,0
AUS,MCO,1/1/2018,NONSTOP,POINTS,152.2,23.83,10300,5.6,1,0
JFK,SXM,1/1/2018,NONSTOP,LOWEST,832.1,28.1,0,0,0,0
JFK,SXM,1/1/2018,NONSTOP,POINTS,832.1,28.1,89400,5.6,0,0
FLL,SJU,1/1/2018,NONSTOP,LOWEST,192.1,28.1,0,0,1,0
FLL,SJU,1/1/2018,NONSTOP,POINTS,192.1,28.1,12200,5.6,1,0
PBI,JFK,1/1/2018,NONSTOP,LOWEST,442,44.05,0,0,1,0
PBI,JFK,1/1/2018,NONSTOP,POINTS,442,44.05,45100,5.6,1,0
FLL,PAP,1/1/2018,NONSTOP,LOWEST,194.6,40.6,0,0,0,0
FLL,PAP,1/1/2018,NONSTOP,POINTS,194.6,40.6,11500,18.1,0,0
BOS,PIT,1/1/2018,NONSTOP,LOWEST,123.21,21.81,0,0,1,0
BOS,PIT,1/1/2018,NONSTOP,POINTS,123.21,21.81,8100,5.6,1,0
JFK,SAV,1/1/2018,NONSTOP,LOWEST,122.21,21.74,0,0,1,0
JFK,SAV,1/1/2018,NONSTOP,POINTS,122.21,21.74,8100,5.6,1,0
BOS,NAS,1/1/2018,NONSTOP,LOWEST,123.1,28.1,0,0,0,0
BOS,NAS,1/1/2018,NONSTOP,POINTS,123.1,28.1,7100,5.6,0,0
BOG,MCO,1/1/2018,NONSTOP,LOWEST,684.36,193.36,0,0,0,0
