Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
BOS,SJU,2/1/2018,NONSTOP,POINTS,162.1,28.1,10000,5.6,1,0
CLE,FLL,2/1/2018,NONSTOP,LOWEST,133.2,22.5,0,0,1,0
CLE,FLL,2/1/2018,NONSTOP,POINTS,133.2,22.5,8900,5.6,1,0
EWR,TPA,2/1/2018,NONSTOP,LOWEST,104.2,20.48,0,0,1,0
EWR,TPA,2/1/2018,NONSTOP,POINTS,104.2,20.48,6700,5.6,1,0
FLL,BDL,2/1/2018,NONSTOP,LOWEST,73.2,18.32,0,0,1,0
FLL,BDL,2/1/2018,NONSTOP,POINTS,73.2,18.32,4400,5.6,1,0
FLL,NAS,2/1/2018,NONSTOP,LOWEST,78.1,28.1,0,0,0,0
FLL,NAS,2/1/2018,NONSTOP,POINTS,78.1,28.1,3800,5.6,0,0
LGA,MCO,2/1/2018,NONSTOP,LOWEST,109.2,20.83,0,0,1,0
LGA,MCO,2/1/2018,NONSTOP,POINTS,109.2,20.83,7100,5.6,1,0
LAS,JFK,2/1/2018,NONSTOP,LOWEST,126.2,22.01,0,0,1,0
LAS,JFK,2/1/2018,NONSTOP,POINTS,126.2,22.01,8300,5.6,1,0
TPA,JFK,2/1/2018,NONSTOP,LOWEST,103.2,20.41,0,0,1,0
TPA,JFK,2/1/2018,NONSTOP,POINTS,103.2,20.41,6600,5.6,1,0
PBI,HPN,2/1/2018,NONSTOP,LOWEST,113.98,21.16,0,0,1,0
PBI,HPN,2/1/2018,NONSTOP,POINTS,113.98,21.16,7400,5.6,1,0
PIT,FLL,2/1/2018,NONSTOP,LOWEST,93.2,19.71,0,0,1,0
PIT,FLL,2/1/2018,NONSTOP,POINTS,93.2,19.71,5900,5.6,1,0
LGB,LAS,2/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
LGB,LAS,2/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
ORD,FLL,2/1/2018,NONSTOP,LOWEST,68.2,17.97,0,0,1,0
ORD,FLL,2/1/2018,NONSTOP,POINTS,68.2,17.97,4000,5.6,1,0
MSY,BOS,2/1/2018,NONSTOP,LOWEST,73.2,18.32,0,0,1,0
MSY,BOS,2/1/2018,NONSTOP,POINTS,73.2,18.32,4400,5.6,1,0
SJU,STT,2/1/2018,NONSTOP,LOWEST,62.1,10.1,0,0,1,0
SJU,STT,2/1/2018,NONSTOP,POINTS,62.1,10.1,3900,5.6,1,0
BDL,FLL,2/1/2018,NONSTOP,LOWEST,134.2,22.57,0,0,1,0
BDL,FLL,2/1/2018,NONSTOP,POINTS,134.2,22.57,8900,5.6,1,0
BOS,HOU,2/1/2018,NONSTOP,LOWEST,89.2,19.43,0,0,1,0
BOS,HOU,2/1/2018,NONSTOP,POINTS,89.2,19.43,5600,5.6,1,0
RDU,FLL,2/1/2018,NONSTOP,LOWEST,108.2,20.76,0,0,1,0
RDU,FLL,2/1/2018,NONSTOP,POINTS,108.2,20.76,7000,5.6,1,0
JFK,CHS,2/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
JFK,CHS,2/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
EWR,SJU,2/1/2018,NONSTOP,LOWEST,130.1,28.1,0,0,1,0
EWR,SJU,2/1/2018,NONSTOP,POINTS,130.1,28.1,7600,5.6,1,0
DTW,FLL,2/1/2018,NONSTOP,LOWEST,116.2,21.32,0,0,1,0
DTW,FLL,2/1/2018,NONSTOP,POINTS,116.2,21.32,7600,5.6,1,0
MVY,BOS,2/1/2018,NONSTOP,LOWEST,173.5,21.5,0,0,1,0
JFK,SAV,2/1/2018,NONSTOP,LOWEST,53.2,16.92,0,0,1,0
JFK,SAV,2/1/2018,NONSTOP,POINTS,53.2,16.92,2900,5.6,1,0
JFK,RSW,2/1/2018,NONSTOP,LOWEST,113.2,21.11,0,0,1,0
JFK,RSW,2/1/2018,NONSTOP,POINTS,113.2,21.11,7400,5.6,1,0
BOS,TPA,2/1/2018,NONSTOP,LOWEST,163.2,24.6,0,0,1,0
BOS,TPA,2/1/2018,NONSTOP,POINTS,163.2,24.6,11100,5.6,1,0
MCO,BOS,2/1/2018,NONSTOP,LOWEST,88.2,19.36,0,0,1,0
MCO,BOS,2/1/2018,NONSTOP,POINTS,88.2,19.36,5500,5.6,1,0
BUF,FLL,2/1/2018,NONSTOP,LOWEST,174.2,25.36,0,0,1,0
BUF,FLL,2/1/2018,NONSTOP,POINTS,174.2,25.36,11900,5.6,1,0
PDX,LGB,2/1/2018,NONSTOP,LOWEST,104.2,20.48,0,0,1,0
PDX,LGB,2/1/2018,NONSTOP,POINTS,104.2,20.48,6700,5.6,1,0
BOS,DCA,2/1/2018,NONSTOP,LOWEST,78.19,18.66,0,0,1,0
BOS,DCA,2/1/2018,NONSTOP,POINTS,78.19,18.66,4800,5.6,1,0
BOG,MCO,2/1/2018,NONSTOP,LOWEST,255.96,124.96,0,0,0,0
BOG,MCO,2/1/2018,NONSTOP,POINTS,255.96,124.96,9800,76.56,0,0
CHS,FLL,2/1/2018,NONSTOP,LOWEST,109.2,20.83,0,0,1,0
CHS,FLL,2/1/2018,NONSTOP,POINTS,109.2,20.83,7100,5.6,1,0
JFK,PAP,2/1/2018,NONSTOP,LOWEST,148.6,40.6,0,0,0,0
JFK,PAP,2/1/2018,NONSTOP,POINTS,148.6,40.6,8000,18.1,0,0
SYR,MCO,2/1/2018,NONSTOP,LOWEST,193.2,26.69,0,0,1,0
SYR,MCO,2/1/2018,NONSTOP,POINTS,193.2,26.69,13300,5.6,1,0
DCA,BDL,2/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
DCA,BDL,2/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
BOS,BNA,2/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
BOS,BNA,2/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
JFK,LGB,2/1/2018,NONSTOP,LOWEST,128.2,22.15,0,0,1,0
JFK,LGB,2/1/2018,NONSTOP,POINTS,128.2,22.15,8500,5.6,1,0
MCO,EWR,2/1/2018,NONSTOP,LOWEST,41.2,16.08,0,0,1,0
MCO,EWR,2/1/2018,NONSTOP,POINTS,41.2,16.08,2000,5.6,1,0
BGI,FLL,2/1/2018,NONSTOP,LOWEST,118.06,73.06,0,0,0,0
BGI,FLL,2/1/2018,NONSTOP,POINTS,118.06,73.06,3400,41.66,0,0
FLL,MSY,2/1/2018,NONSTOP,LOWEST,33.2,15.53,0,0,1,0
FLL,MSY,2/1/2018,NONSTOP,POINTS,33.2,15.53,1500,5.6,1,0
BOS,DEN,2/1/2018,NONSTOP,LOWEST,271.2,32.13,0,0,1,0
BOS,DEN,2/1/2018,NONSTOP,POINTS,271.2,32.13,19100,5.6,1,0
HPN,PBI,2/1/2018,NONSTOP,LOWEST,141.99,23.12,0,0,1,0
HPN,PBI,2/1/2018,NONSTOP,POINTS,141.99,23.12,9500,5.6,1,0
MCO,NAS,2/1/2018,NONSTOP,LOWEST,68.1,28.1,0,0,0,0
MCO,NAS,2/1/2018,NONSTOP,POINTS,68.1,28.1,3000,5.6,0,0
JFK,SYR,2/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
JFK,SYR,2/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
JFK,UVF,2/1/2018,NONSTOP,LOWEST,203.5,33.5,0,0,0,0
JFK,UVF,2/1/2018,NONSTOP,POINTS,203.5,33.5,12600,11,0,0
JFK,RDU,2/1/2018,NONSTOP,LOWEST,88.2,19.36,0,0,1,0
JFK,RDU,2/1/2018,NONSTOP,POINTS,88.2,19.36,5500,5.6,1,0
BOS,CLE,2/1/2018,NONSTOP,LOWEST,41.2,16.08,0,0,1,0
BOS,CLE,2/1/2018,NONSTOP,POINTS,41.2,16.08,2000,5.6,1,0
JFK,CTG,2/1/2018,NONSTOP,LOWEST,285.1,43.1,0,0,0,0
JFK,CTG,2/1/2018,NONSTOP,POINTS,285.1,43.1,18000,20.6,0,0
BOS,DTW,2/1/2018,NONSTOP,LOWEST,58.2,17.27,0,0,1,0
BOS,DTW,2/1/2018,NONSTOP,POINTS,58.2,17.27,3300,5.6,1,0
DCA,BOS,2/1/2018,NONSTOP,LOWEST,78.19,18.66,0,0,1,0
DCA,BOS,2/1/2018,NONSTOP,POINTS,78.19,18.66,4800,5.6,1,0
JFK,AUA,2/1/2018,NONSTOP,LOWEST,353.1,38.1,0,0,0,0
JFK,AUA,2/1/2018,NONSTOP,POINTS,353.1,38.1,23400,15.6,0,0
JFK,DAB,2/1/2018,NONSTOP,LOWEST,83.2,19.01,0,0,1,0
JFK,DAB,2/1/2018,NONSTOP,POINTS,83.2,19.01,5200,5.6,1,0
FLL,HAV,2/1/2018,NONSTOP,LOWEST,93.1,53.1,0,0,0,0
FLL,HAV,2/1/2018,NONSTOP,POINTS,93.1,53.1,3000,30.6,0,0
FLL,HPN,2/1/2018,NONSTOP,LOWEST,93.2,19.71,0,0,1,0
FLL,HPN,2/1/2018,NONSTOP,POINTS,93.2,19.71,5900,5.6,1,0
FLL,SDQ,2/1/2018,NONSTOP,LOWEST,137.4,59.4,0,0,0,0
FLL,SDQ,2/1/2018,NONSTOP,POINTS,137.4,59.4,5800,36.9,0,0
JFK,SRQ,2/1/2018,NONSTOP,LOWEST,232.2,29.41,0,0,1,0
JFK,SRQ,2/1/2018,NONSTOP,POINTS,232.2,29.41,16200,5.6,1,0
DCA,SJU,2/1/2018,NONSTOP,LOWEST,152.1,28.1,0,0,1,0
DCA,SJU,2/1/2018,NONSTOP,POINTS,152.1,28.1,9200,5.6,1,0
JFK,CLT,2/1/2018,NONSTOP,LOWEST,85.2,19.15,0,0,1,0
