Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
FLL,EWR,12/1/2017,NONSTOP,LOWEST,148.2,23.55,0,0,1,0
FLL,EWR,12/1/2017,NONSTOP,POINTS,148.2,23.55,10000,5.6,1,0
BOS,RDU,12/1/2017,NONSTOP,LOWEST,278.2,32.62,0,0,1,0
BOS,RDU,12/1/2017,NONSTOP,POINTS,278.2,32.62,19600,5.6,1,0
BOS,RIC,12/1/2017,NONSTOP,LOWEST,231.2,29.34,0,0,1,0
BOS,RIC,12/1/2017,NONSTOP,POINTS,231.2,29.34,18900,5.6,1,0
BOS,MCO,12/1/2017,NONSTOP,LOWEST,218.2,28.43,0,0,1,0
BOS,MCO,12/1/2017,NONSTOP,POINTS,218.2,28.43,15200,5.6,1,0
HPN,MCO,12/1/2017,NONSTOP,LOWEST,356.99,38.12,0,0,1,0
HPN,MCO,12/1/2017,NONSTOP,POINTS,296.2,33.87,22600,5.6,1,1
LGA,BOS,12/1/2017,NONSTOP,LOWEST,213.2,28.08,0,0,1,0
LGA,BOS,12/1/2017,NONSTOP,POINTS,174.2,25.36,11900,5.6,1,1
PVD,MCO,12/1/2017,NONSTOP,LOWEST,328.2,36.11,0,0,1,0
PVD,MCO,12/1/2017,NONSTOP,POINTS,328.2,36.11,33100,5.6,1,0
CHS,DCA,12/1/2017,NONSTOP,LOWEST,179.2,25.71,0,0,1,0
CHS,DCA,12/1/2017,NONSTOP,POINTS,179.2,25.71,12300,5.6,1,0
IAD,JFK,12/1/2017,NONSTOP,LOWEST,216.2,28.29,0,0,1,0
IAD,JFK,12/1/2017,NONSTOP,POINTS,216.2,28.29,17600,5.6,1,0
SYR,FLL,12/1/2017,NONSTOP,LOWEST,324.98,35.88,0,0,1,0
SYR,FLL,12/1/2017,NONSTOP,POINTS,324.98,35.88,27100,5.6,1,0
MCO,JFK,12/1/2017,NONSTOP,LOWEST,123.21,21.81,0,0,1,0
MCO,JFK,12/1/2017,NONSTOP,POINTS,123.21,21.81,8100,5.6,1,0
FLL,KIN,12/1/2017,NONSTOP,LOWEST,457.1,72.1,0,0,0,0
FLL,KIN,12/1/2017,NONSTOP,POINTS,457.1,72.1,40600,49.6,0,0
JFK,MSY,12/1/2017,NONSTOP,LOWEST,395.2,40.78,0,0,1,0
JFK,MSY,12/1/2017,NONSTOP,POINTS,395.2,40.78,36300,5.6,1,0
EWR,TPA,12/1/2017,NONSTOP,LOWEST,281.2,32.83,0,0,1,0
EWR,TPA,12/1/2017,NONSTOP,POINTS,281.2,32.83,19800,5.6,1,0
JFK,MBJ,12/1/2017,NONSTOP,LOWEST,391.1,72.1,0,0,0,0
JFK,MBJ,12/1/2017,NONSTOP,POINTS,391.1,72.1,25600,49.6,0,0
BOS,LGA,12/1/2017,NONSTOP,LOWEST,213.2,28.08,0,0,1,0
BOS,LGA,12/1/2017,NONSTOP,POINTS,174.2,25.36,11900,5.6,1,1
LGB,OAK,12/1/2017,NONSTOP,LOWEST,109.2,20.83,0,0,1,0
LGB,OAK,12/1/2017,NONSTOP,POINTS,109.2,20.83,7100,5.6,1,0
FLL,MEX,12/1/2017,NONSTOP,LOWEST,174.82,54.82,0,0,0,0
FLL,MEX,12/1/2017,NONSTOP,POINTS,174.82,54.82,8900,32.32,0,0
BOS,LAS,12/1/2017,NONSTOP,LOWEST,369.98,39.02,0,0,1,0
BOS,LAS,12/1/2017,NONSTOP,POINTS,369.98,39.02,28500,5.6,1,0
BOS,BUF,12/1/2017,NONSTOP,LOWEST,83.2,19.01,0,0,1,0
BOS,BUF,12/1/2017,NONSTOP,POINTS,83.2,19.01,5200,5.6,1,0
BOS,HOU,12/1/2017,NONSTOP,LOWEST,279.2,32.69,0,0,1,0
BOS,HOU,12/1/2017,NONSTOP,POINTS,279.2,32.69,23100,5.6,1,0
BOS,ORD,12/1/2017,NONSTOP,LOWEST,131.2,22.36,0,0,1,0
BOS,ORD,12/1/2017,NONSTOP,POINTS,131.2,22.36,8700,5.6,1,0
BDL,MCO,12/1/2017,NONSTOP,LOWEST,335.2,36.6,0,0,1,0
BDL,MCO,12/1/2017,NONSTOP,POINTS,290.2,33.46,22100,5.6,1,1
ATL,BOS,12/1/2017,NONSTOP,LOWEST,221.2,28.64,0,0,1,0
ATL,BOS,12/1/2017,NONSTOP,POINTS,221.2,28.64,18000,5.6,1,0
BWI,FLL,12/1/2017,NONSTOP,LOWEST,218.2,28.43,0,0,1,0
BWI,FLL,12/1/2017,NONSTOP,POINTS,218.2,28.43,19500,5.6,1,0
BUF,BOS,12/1/2017,NONSTOP,LOWEST,83.2,19.01,0,0,1,0
BUF,BOS,12/1/2017,NONSTOP,POINTS,83.2,19.01,5200,5.6,1,0
BOS,SAN,12/1/2017,NONSTOP,LOWEST,585.2,54.04,0,0,1,0
BOS,SAN,12/1/2017,NONSTOP,POINTS,540.2,50.9,45800,5.6,1,1
BOS,SFO,12/1/2017,NONSTOP,LOWEST,483.2,46.92,0,0,1,0
BOS,SFO,12/1/2017,NONSTOP,POINTS,483.2,46.92,49400,5.6,1,0
FLL,BDL,12/1/2017,NONSTOP,LOWEST,159.2,24.32,0,0,1,0
FLL,BDL,12/1/2017,NONSTOP,POINTS,159.2,24.32,10800,5.6,1,0
JFK,BOS,12/1/2017,NONSTOP,POINTS,174.2,25.36,11900,5.6,1,1
JFK,SFO,12/1/2017,NONSTOP,LOWEST,448.2,44.48,0,0,1,0
JFK,SFO,12/1/2017,NONSTOP,POINTS,448.2,44.48,45700,5.6,1,0
LGA,MCO,12/1/2017,NONSTOP,LOWEST,245.2,30.32,0,0,1,0
LGA,MCO,12/1/2017,NONSTOP,POINTS,245.2,30.32,17200,5.6,1,0
TPA,SJU,12/1/2017,NONSTOP,LOWEST,489.1,28.1,0,0,1,0
TPA,SJU,12/1/2017,NONSTOP,POINTS,489.1,28.1,48600,5.6,1,0
SLC,LGB,12/1/2017,NONSTOP,LOWEST,140.2,22.99,0,0,1,0
SLC,LGB,12/1/2017,NONSTOP,POINTS,140.2,22.99,9400,5.6,1,0
MCO,BOS,12/1/2017,NONSTOP,LOWEST,218.2,28.43,0,0,1,0
MCO,BOS,12/1/2017,NONSTOP,POINTS,218.2,28.43,15200,5.6,1,0
ORD,FLL,12/1/2017,NONSTOP,LOWEST,389.2,40.36,0,0,1,0
ORD,FLL,12/1/2017,NONSTOP,POINTS,389.2,40.36,32700,5.6,1,0
PBI,HPN,12/1/2017,NONSTOP,LOWEST,348.98,37.56,0,0,1,0
PBI,HPN,12/1/2017,NONSTOP,POINTS,348.98,37.56,26800,5.6,1,0
SFO,JFK,12/1/2017,NONSTOP,LOWEST,448.2,44.48,0,0,1,0
SFO,JFK,12/1/2017,NONSTOP,POINTS,448.2,44.48,45700,5.6,1,0
SDQ,SJU,12/1/2017,NONSTOP,LOWEST,150.36,80.36,0,0,0,0
SDQ,SJU,12/1/2017,NONSTOP,POINTS,150.36,80.36,5200,62.26,0,0
FLL,RIC,12/1/2017,NONSTOP,LOWEST,234.2,29.55,0,0,1,0
FLL,RIC,12/1/2017,NONSTOP,POINTS,234.2,29.55,17600,5.6,1,0
RDU,FLL,12/1/2017,NONSTOP,LOWEST,181.2,25.85,0,0,1,0
RDU,FLL,12/1/2017,NONSTOP,POINTS,181.2,25.85,12400,5.6,1,0
BOS,AUS,12/1/2017,NONSTOP,LOWEST,394.2,40.71,0,0,1,0
BOS,AUS,12/1/2017,NONSTOP,POINTS,394.2,40.71,36200,5.6,1,0
BOS,AUA,12/1/2017,NONSTOP,LOWEST,513.1,38.1,0,0,0,0
BOS,AUA,12/1/2017,NONSTOP,POINTS,513.1,38.1,41400,15.6,0,0
BOS,DTW,12/1/2017,NONSTOP,LOWEST,205.2,27.53,0,0,1,0
BOS,DTW,12/1/2017,NONSTOP,POINTS,205.2,27.53,15300,5.6,1,0
PHL,FLL,12/1/2017,NONSTOP,LOWEST,240.2,29.97,0,0,1,0
PHL,FLL,12/1/2017,NONSTOP,POINTS,240.2,29.97,18100,5.6,1,0
MCO,NAS,12/1/2017,NONSTOP,LOWEST,83.1,28.1,0,0,0,0
MCO,NAS,12/1/2017,NONSTOP,POINTS,83.1,28.1,4100,5.6,0,0
BUF,FLL,12/1/2017,NONSTOP,LOWEST,248.2,30.53,0,0,1,0
BUF,FLL,12/1/2017,NONSTOP,POINTS,248.2,30.53,20400,5.6,1,0
CLE,FLL,12/1/2017,NONSTOP,LOWEST,243.2,30.18,0,0,1,0
CLE,FLL,12/1/2017,NONSTOP,POINTS,243.2,30.18,20000,5.6,1,0
JAX,FLL,12/1/2017,NONSTOP,LOWEST,211.98,28,0,0,1,0
JAX,FLL,12/1/2017,NONSTOP,POINTS,211.98,28,17200,5.6,1,0
JFK,SAV,12/1/2017,NONSTOP,LOWEST,224.2,28.85,0,0,1,0
JFK,SAV,12/1/2017,NONSTOP,POINTS,224.2,28.85,18300,5.6,1,0
JFK,TPA,12/1/2017,NONSTOP,LOWEST,291.2,33.53,0,0,1,0
JFK,TPA,12/1/2017,NONSTOP,POINTS,259.2,31.29,19600,5.6,1,1
PIT,FLL,12/1/2017,NONSTOP,LOWEST,193.2,26.69,0,0,1,0
PIT,FLL,12/1/2017,NONSTOP,POINTS,193.2,26.69,14400,5.6,1,0
DTW,FLL,12/1/2017,NONSTOP,LOWEST,373.2,39.25,0,0,1,0
DTW,FLL,12/1/2017,NONSTOP,POINTS,373.2,39.25,37800,5.6,1,0
BOG,MCO,12/1/2017,NONSTOP,LOWEST,424.96,151.96,0,0,0,0
BOG,MCO,12/1/2017,NONSTOP,POINTS,424.96,151.96,20300,76.56,0,0
LGB,LAS,12/1/2017,NONSTOP,LOWEST,78.19,18.66,0,0,1,0
LGB,LAS,12/1/2017,NONSTOP,POINTS,78.19,18.66,4800,5.6,1,0
PBI,EWR,12/1/2017,NONSTOP,LOWEST,196.2,26.9,0,0,1,0
PBI,EWR,12/1/2017,NONSTOP,POINTS,196.2,26.9,13500,5.6,1,0
DCA,BDL,12/1/2017,NONSTOP,LOWEST,161.2,24.46,0,0,1,0
DCA,BDL,12/1/2017,NONSTOP,POINTS,161.2,24.46,10900,5.6,1,0
PDX,LGB,12/1/2017,NONSTOP,LOWEST,206.2,27.6,0,0,1,0
PDX,LGB,12/1/2017,NONSTOP,POINTS,206.2,27.6,16700,5.6,1,0
BOS,DFW,12/1/2017,NONSTOP,LOWEST,225.2,28.92,0,0,1,0
BOS,DFW,12/1/2017,NONSTOP,POINTS,225.2,28.92,18400,5.6,1,0
AUS,MCO,12/1/2017,NONSTOP,LOWEST,394.2,40.71,0,0,1,0
AUS,MCO,12/1/2017,NONSTOP,POINTS,310.2,34.85,23700,5.6,1,1
LGA,PBI,12/1/2017,NONSTOP,LOWEST,286.2,33.18,0,0,1,0
LGA,PBI,12/1/2017,NONSTOP,POINTS,286.2,33.18,23700,5.6,1,0
JFK,RSW,12/1/2017,NONSTOP,LOWEST,369.2,38.97,0,0,1,0
JFK,RSW,12/1/2017,NONSTOP,POINTS,318.2,35.41,26500,5.6,1,1
JFK,LGB,12/1/2017,NONSTOP,LOWEST,471.2,46.08,0,0,1,0
JFK,LGB,12/1/2017,NONSTOP,POINTS,471.2,46.08,43600,5.6,1,0
BGI,FLL,12/1/2017,NONSTOP,LOWEST,259.06,94.06,0,0,0,0
BGI,FLL,12/1/2017,NONSTOP,POINTS,259.06,94.06,12300,41.66,0,0
BDL,FLL,12/1/2017,NONSTOP,LOWEST,159.2,24.32,0,0,1,0
BDL,FLL,12/1/2017,NONSTOP,POINTS,159.2,24.32,10800,5.6,1,0
JFK,PUJ,12/1/2017,NONSTOP,LOWEST,372.4,59.4,0,0,0,0
JFK,PUJ,12/1/2017,NONSTOP,POINTS,372.4,59.4,23200,36.9,0,0
FLL,HPN,12/1/2017,NONSTOP,LOWEST,358.2,38.2,0,0,1,0
FLL,HPN,12/1/2017,NONSTOP,POINTS,358.2,38.2,30000,5.6,1,0
SYR,MCO,12/1/2017,NONSTOP,LOWEST,548.2,51.46,0,0,1,0
