Origin,Destination,FlightDate,FlightType,FareType,DollarFare,DollarTax,PointsFare,PointsTax,IsDomesticRoute,IsPrivateFare
BOS,CUN,3/1/2018,NONSTOP,POINTS,209.82,54.82,11500,32.32,0,0
BOS,CLT,3/1/2018,NONSTOP,LOWEST,108.2,20.76,0,0,1,0
BOS,CLT,3/1/2018,NONSTOP,POINTS,108.2,20.76,7000,5.6,1,0
HPN,RSW,3/1/2018,NONSTOP,LOWEST,236.98,29.74,0,0,1,0
HPN,RSW,3/1/2018,NONSTOP,POINTS,236.98,29.74,16600,5.6,1,0
FLL,BOS,3/1/2018,NONSTOP,LOWEST,145.2,23.34,0,0,1,0
FLL,BOS,3/1/2018,NONSTOP,POINTS,145.2,23.34,9800,5.6,1,0
JFK,SXM,3/1/2018,NONSTOP,LOWEST,169.1,28.1,0,0,0,0
JFK,SXM,3/1/2018,NONSTOP,POINTS,169.1,28.1,10500,5.6,0,0
FLL,SFO,3/1/2018,NONSTOP,LOWEST,138.2,22.85,0,0,1,0
FLL,SFO,3/1/2018,NONSTOP,POINTS,138.2,22.85,9200,5.6,1,0
PIT,BOS,3/1/2018,NONSTOP,LOWEST,143.2,23.2,0,0,1,0
PIT,BOS,3/1/2018,NONSTOP,POINTS,143.2,23.2,9600,5.6,1,0
FLL,BOG,3/1/2018,NONSTOP,LOWEST,147.1,43.1,0,0,0,0
FLL,BOG,3/1/2018,NONSTOP,POINTS,147.1,43.1,7800,20.6,0,0
BDA,JFK,3/1/2018,NONSTOP,LOWEST,184.96,134.96,0,0,0,0
BDA,JFK,3/1/2018,NONSTOP,POINTS,184.96,134.96,3800,111.46,0,0
HPN,PBI,3/1/2018,NONSTOP,LOWEST,233.98,29.53,0,0,1,0
HPN,PBI,3/1/2018,NONSTOP,POINTS,233.98,29.53,16300,5.6,1,0
MCO,HAV,3/1/2018,NONSTOP,LOWEST,103.1,53.1,0,0,0,0
MCO,HAV,3/1/2018,NONSTOP,POINTS,103.1,53.1,3800,30.6,0,0
LGB,RNO,3/1/2018,NONSTOP,LOWEST,66.2,17.83,0,0,1,0
LGB,RNO,3/1/2018,NONSTOP,POINTS,66.2,17.83,3900,5.6,1,0
JFK,GND,3/1/2018,NONSTOP,LOWEST,156,43,0,0,0,0
JFK,GND,3/1/2018,NONSTOP,POINTS,156,43,8400,20.5,0,0
DCA,JAX,3/1/2018,NONSTOP,LOWEST,135.2,22.64,0,0,1,0
DCA,JAX,3/1/2018,NONSTOP,POINTS,135.2,22.64,9000,5.6,1,0
RIC,BOS,3/1/2018,NONSTOP,LOWEST,136.2,22.71,0,0,1,0
RIC,BOS,3/1/2018,NONSTOP,POINTS,136.2,22.71,9100,5.6,1,0
OAK,LGB,3/1/2018,NONSTOP,LOWEST,48.2,16.57,0,0,1,0
OAK,LGB,3/1/2018,NONSTOP,POINTS,48.2,16.57,2600,5.6,1,0
PAP,FLL,3/1/2018,NONSTOP,LOWEST,186.06,111.06,0,0,0,0
PAP,FLL,3/1/2018,NONSTOP,POINTS,186.06,111.06,5600,87.56,0,0
SFO,LGB,3/1/2018,NONSTOP,LOWEST,39.2,15.94,0,0,1,0
SFO,LGB,3/1/2018,NONSTOP,POINTS,39.2,15.94,1900,5.6,1,0
PHL,BOS,3/1/2018,NONSTOP,LOWEST,68.2,17.97,0,0,1,0
PHL,BOS,3/1/2018,NONSTOP,POINTS,68.2,17.97,4000,5.6,1,0
MCO,RIC,3/1/2018,NONSTOP,LOWEST,103.2,20.41,0,0,1,0
MCO,RIC,3/1/2018,NONSTOP,POINTS,103.2,20.41,6600,5.6,1,0
FLL,JAX,3/1/2018,NONSTOP,LOWEST,54.2,16.99,0,0,1,0
FLL,JAX,3/1/2018,NONSTOP,POINTS,54.2,16.99,3000,5.6,1,0
JFK,LIR,3/1/2018,NONSTOP,LOWEST,208.79,45.79,0,0,0,0
JFK,LIR,3/1/2018,NONSTOP,POINTS,208.79,45.79,12100,23.29,0,0
SYR,JFK,3/1/2018,NONSTOP,LOWEST,73.2,18.32,0,0,1,0
SYR,JFK,3/1/2018,NONSTOP,POINTS,73.2,18.32,4400,5.6,1,0
BOS,ATL,3/1/2018,NONSTOP,LOWEST,89.2,19.43,0,0,1,0
BOS,ATL,3/1/2018,NONSTOP,POINTS,89.2,19.43,5600,5.6,1,0
RDU,BOS,3/1/2018,NONSTOP,LOWEST,183.2,25.99,0,0,1,0
RDU,BOS,3/1/2018,NONSTOP,POINTS,183.2,25.99,12600,5.6,1,0
FLL,MSY,3/1/2018,NONSTOP,LOWEST,89.2,19.43,0,0,1,0
